bill_number,docket_number,title,docket_only,primary_sponsor,domain_title_terms,broad_title_terms,committee_net,url
,SD21,Worcester DA 2022 Wiretap Report,no,Worcester District Attorney,wiretap_interception,,,
,SD22,AGO 2022 Wiretap Report,no,Office of the Attorney General,wiretap_interception,,,
,SD310,Norfolk DA 2022 Wiretap Report,no,Norfolk District Attorney,wiretap_interception,,,
,SD831,Middlesex DA 2022 Wiretap Report,no,Middlesex District Attorney,wiretap_interception,,,
,HD3452,An Act relative to student and educator data privacy,no,Kate Lipper-Garabedian,privacy;data_privacy_protection,data,,
,HD3466,An Act relative to student and educator data privacy,no,Kate Lipper-Garabedian,privacy;data_privacy_protection,data,,
,SD2120,Northwestern DA 2022 Wiretap Report,no,Northwestern District Attorney,wiretap_interception,,,
,SD2260,Essex County DA 2022 Wiretap Report,no,Essex County District Attorney,wiretap_interception,,,
,HD3911,An Act relevant to the surveillance and reporting of Long COVID,no,Mindy Domb,surveillance,,,
,HD4087,A report of the District Attorney of the Cape and Islands District (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,no,Cape and Islands District Attorney,wiretap_interception,,,
,HD4088,A communication from the District Attorney of Essex County (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,no,Essex County District Attorney,wiretap_interception,,,
,HD4089,A report of the Middlesex District Attorney (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,no,Middlesex District Attorney,wiretap_interception,,,
,HD4090,A communication from the District Attorney of Norfolk County (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,no,Norfolk District Attorney,wiretap_interception,,,
,HD4091,A communication from the Northwestern District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,no,Northwestern District Attorney,wiretap_interception,,,
,HD4092,A report of the District Attorney of Worcester County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,no,Worcester District Attorney,wiretap_interception,,,
,HD4125,A communication from the Hampden County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,no,Hampden District Attorney,wiretap_interception,,,
,HD4265,Special report of the Special Commission to Evaluate Government Use of Facial Recognition Technology (under Section 105 of Chapter 253 of the Acts of 2020 and most recently revived and continued by Section70 of Chapter 2 of the Acts of 2023) submitting its final report and appendices,no,Facial Recognition Technology,facial_recognition,technology,,
,HD4787,The annual report of the Norfolk County District Attorney’s Office (under Section 99(R) of Chapter 272 of the General Laws) submitting its report relative to wiretaps for calendar year 2023,no,Norfolk District Attorney,wiretap_interception,,,
,HD4795,A report of the District Attorney of Essex County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,no,Essex County District Attorney,wiretap_interception,,,
,HD4819,A communication from the Hampden County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,no,Hampden District Attorney,wiretap_interception,,,
,SD2967,Annual report of wiretap interceptions for the 2023 calendar year,no,Cape and Islands District Attorney,wiretap_interception,,,
,HD4833,A communication from the District Attorney of the Cape and Islands District (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,no,Cape and Islands District Attorney,wiretap_interception,,,
,SD2973,Worcester DA 2023 Wiretap Report,no,Worcester District Attorney,wiretap_interception,,,
,SD3008,2023 Norfolk DA Wiretap Report,no,Norfolk District Attorney,wiretap_interception,,,
,HD4920,A report of the District Attorney of Worcester County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,no,Worcester District Attorney,wiretap_interception,,,
,SD3014,Middlesex District Attorney 2023 Wiretap Report,no,Middlesex District Attorney,wiretap_interception,,,
,SD3031,Northwestern DA 2023 Wiretap Report,no,Northwestern District Attorney,wiretap_interception,,,
,SD3038,Modernizing information technology and enhancing cybersecurity,no,Executive Office of Technology Services & Security,cybersecurity,information;technology,,
,HD4960,A communication from the Northwestern District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,no,Northwestern District Attorney,wiretap_interception,,,
,SD3051,Bristol District Attorney 2023 Wiretap Report,no,Bristol District Attorney,wiretap_interception,,,
,HD5020,A communication from the Bristol County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,no,Bristol District Attorney,wiretap_interception,,,
H1049,HD1900,An Act protecting consumers' privacy in mortgage applications,no,Daniel J. Hunt,privacy,,,https://malegislature.gov/Bills/193/H1049
H131,HD668,An Act fast-tracking adoptions for children in DCF custody,no,"Donald R. Berthiaume, Jr.",tracking,,,https://malegislature.gov/Bills/193/H131
H1428,HD265,An Act relative to personal information,no,Edward F. Coppinger,personal_information,information,,https://malegislature.gov/Bills/193/H1428
H1442,HD3920,An Act to protect the privacy of 911 callers,no,Michael S. Day,privacy,,,https://malegislature.gov/Bills/193/H1442
H1455,HD517,An Act relative to the tracking of certain electronic devices,no,Marjorie C. Decker,tracking,electronic,,https://malegislature.gov/Bills/193/H1455
H1556,HD465,An Act relative to safety and privacy for elected officials,no,Steven S. Howitt,privacy,,,https://malegislature.gov/Bills/193/H1556
H1572,HD1746,An Act prohibiting motor vehicle tracking devices without consent,no,"Bradley H. Jones, Jr.",tracking,,,https://malegislature.gov/Bills/193/H1572
H1672,HD301,An Act to ensure backyard privacy,no,Joseph D. McKenna,privacy,,,https://malegislature.gov/Bills/193/H1672
H1707,HD1852,An Act relative to the malicious doxing of personal information,no,Tram T. Nguyen,personal_information,information,,https://malegislature.gov/Bills/193/H1707
H1722,HD2652,An Act relative to wiretapping in the Commonwealth,no,Edward R. Philips,wiretap_interception,,,https://malegislature.gov/Bills/193/H1722
H1728,HD2304,An Act to implement the recommendations of the special commission on facial recognition technology,no,Orlando Ramos,facial_recognition,technology,,https://malegislature.gov/Bills/193/H1728
H1760,HD178,An Act to establish a DNA exception rule for victims of rape,no,Adam J. Scanlon,genetic,,,https://malegislature.gov/Bills/193/H1760
H1786,HD2291,An Act modernizing the Massachusetts wiretap law,no,Jeffrey Rosario Turco,wiretap_interception,,,https://malegislature.gov/Bills/193/H1786
H1809,HD2076,An Act prohibiting electronic tracking of motor vehicles,no,Marcus S. Vaughn,tracking,electronic,,https://malegislature.gov/Bills/193/H1809
H1893,HD2850,An Act relative to social media privacy protection,no,Kenneth I. Gordon,privacy;social_media,,,https://malegislature.gov/Bills/193/H1893
H1976,HD4075,"An Act to improve the quality of mental health services, and rights of patients, by providing for sufficient privacy.",no,Michael S. Day,privacy,,,https://malegislature.gov/Bills/193/H1976
H1986,HD3653,Resolve relative to children’s mental health in social media,no,Denise C. Garlick,social_media,,,https://malegislature.gov/Bills/193/H1986
H2334,HD2935,"An Act relative to tracking, tracing and stopping illegal firearms",no,Carlos González,tracking,,,https://malegislature.gov/Bills/193/H2334
H2336,HD835,An Act relative to the expansion of the state DNA database,no,Danielle W. Gregoire,genetic,,,https://malegislature.gov/Bills/193/H2336
H2342,HD736,An Act relative to lawfully owed DNA,no,Natalie M. Higgins,genetic,,,https://malegislature.gov/Bills/193/H2342
H326,HD545,An Act to prohibit negative option sales and disclosure of financial and personal information without a consumer’s express agreement,no,Steven S. Howitt,personal_information,information,,https://malegislature.gov/Bills/193/H326
H3404,HD2360,An Act establishing driver privacy protections,no,Sarah K. Peake,privacy,,,https://malegislature.gov/Bills/193/H3404
H3434,HD428,An Act relative to all-electronic tolling data privacy,no,William M. Straus,privacy;data_privacy_protection,data;electronic,,https://malegislature.gov/Bills/193/H3434
H357,HD3698,"An Act protecting reproductive health access, LGBTQ lives, religious liberty, and freedom of movement by banning the sale of cell phone location information",no,Kate Lipper-Garabedian,location_data,information,,https://malegislature.gov/Bills/193/H357
H377,HD1850,An Act to protect patient privacy and prevent unfair and deceptive advertising of pregnancy-related services,no,Tram T. Nguyen,privacy,,,https://malegislature.gov/Bills/193/H377
H4299,HD4855,"Extension Order - Advanced Information Technology, the Internet and Cybersecurity",no,Tricia Farley-Bouvier,cybersecurity,information;internet;technology,,https://malegislature.gov/Bills/193/H4299
H4323,,An Act to protect the privacy of 911 callers,no,Joint Committee on the Judiciary,privacy,,,https://malegislature.gov/Bills/193/H4323
H4359,,An Act to implement the recommendations of the special commission on facial recognition technology,no,Joint Committee on the Judiciary,facial_recognition,technology,,https://malegislature.gov/Bills/193/H4359
H4536,HD5027,"Extension Order - Advanced Information Technology, the Internet and Cybersecurity",no,Tricia Farley-Bouvier,cybersecurity,information;internet;technology,,https://malegislature.gov/Bills/193/H4536
