family,phrase,year,chapter,title,snippet,url
biometric,biometric,2023,2,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2023 TO PROVIDE FOR SUPPLEMENTI,"sources, which may include credential analysis, dynamic knowledge-based authentication, analysis of biometric data including, but not limited to, facial recognition, voiceprint analysis or fingerprint analysis or other means permitted by the secretary. &ldquo",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter2
facial-recognition,facial recognition,2023,2,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2023 TO PROVIDE FOR SUPPLEMENTI,", dynamic knowledge-based authentication, analysis of biometric data including, but not limited to, facial recognition, voiceprint analysis or fingerprint analysis or other means permitted by the secretary. &ldquo;Journal&rdquo;, a chronological record of notarial act",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter2
lottery,lottery,2023,10,AN ACT ESTABLISHING A PROCESS FOR DETERMINING THE ORDER OF CANDIDATES' NAMES ON ,"ames by the town clerk for each race. Prior to printing of the ballots, the town clerk shall hold a lottery for each race where names of all qualified candidates shall be entered. The order of the names drawn shall be the order in which the names appear on ",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter10
breach-93H,chapter 93h,2023,28,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2024 FOR THE MAINTENANCE OF THE,"al privacy laws, including, but not limited to, Title 13 of the United States Code and section 2 of chapter 93H. Governor returned the following section with recommendation of amendment, see House, No. H4050 SECTION&nbsp;8.&nbsp;&nbsp;Chapter 6C of the General ",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter28
breach-93H,93h,2023,28,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2024 FOR THE MAINTENANCE OF THE,"cy laws, including, but not limited to, Title 13 of the United States Code and section 2 of chapter 93H. Governor returned the following section with recommendation of amendment, see House, No. H4050 SECTION&nbsp;8.&nbsp;&nbsp;Chapter 6C of the General ",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter28
alpr,alpr,2023,28,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2024 FOR THE MAINTENANCE OF THE,"the operation of the superior court department; provided, that funds shall be expended for medical malpractice tribunals under section 60B of chapter 231 of the General Laws; and provided further, that the clerk of the court shall be responsible for the ",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter28
student-data,student data,2023,28,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2024 FOR THE MAINTENANCE OF THE,"ool districts with funds to partner with local community-based organizations and share identifiable student data to the extent allowed by law; provided further, that not less than $50,000 shall be expended for Girls Design Academy in New Bedford; provided furthe",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter28
social-media,social media,2023,28,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2024 FOR THE MAINTENANCE OF THE,"providers; provided further, that eligible outreach activities shall include: (i) location-specific social media or mobile advertising campaigns; (ii) workplace or classroom educational seminars or similar community-based programming; and (iii) the creation and ",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter28
lottery,lottery,2023,28,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2024 FOR THE MAINTENANCE OF THE,"98,860,209 $1,098,081,115 $50,350,000 Massachusetts Cultural Council $0 $20,000 $0 $20,000 $0 State Lottery Commission $0 $31,250 $1,216,408,020 $1,216,439,270 $0 TOTAL $0 $749,622,156 $1,615,268,229 $2,314,540,385 $50,350,000 Attorney General &nbsp; &nbsp;",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter28
victim-comp,victim compensation,2023,28,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2024 FOR THE MAINTENANCE OF THE,"nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; For the purposes of a federally funded grant entitled, FY20 OVC Victim Compensation Formula................................... $1,084,000 0810-0023&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; For the purposes of a federally funded gran",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter28
alpr,alpr,2023,77,AN ACT MAKING APPROPRIATIONS FOR THE FISCAL YEAR 2023 FOR SUPPLEMENTING CERTAIN ,"ble care organization, managed care entity, casualty insurer, workers&rsquo; compensation insurer, malpractice insurer, short-term limited duration insurance, association health plan. SECTION 23. The third paragraph of said section 23 of said chapter 118",https://malegislature.gov/Laws/SessionLaws/Acts/2023/Chapter77
