source,target,link_type,confidence,evidence,evidence_url
H1049,194:H1199,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1049/SimilarBills
H1049,189:H1445,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1049/SimilarBills
H1428,H4517,sent_to_study,verified-official-record,"Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1428
H1428,191:H3257,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1428/SimilarBills
H1428,192:H1496,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1428/SimilarBills
H1428,194:H1741,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1428/SimilarBills
H1428,194:H1729,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1428/SimilarBills
H1428,194:H3815,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1428/SimilarBills
H1442,H4323,superseded_by,verified-official-record,"Accompanied a new draft, see H4323",https://malegislature.gov/Bills/193/H1442
H1442,194:H1643,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1442/SimilarBills
H1442,194:H4634,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1442/SimilarBills
H1442,190:H765,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1442/SimilarBills
H1442,191:H3273,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1442/SimilarBills
H1442,192:H1513,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1442/SimilarBills
H1455,H4517,sent_to_study,verified-official-record,"Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1455
H1455,191:H1380,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1455/SimilarBills
H1455,192:H1527,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1455/SimilarBills
H1455,189:H1256,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1455/SimilarBills
H1455,190:H768,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1455/SimilarBills
H1455,194:H666,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1455/SimilarBills
H1572,H4517,sent_to_study,verified-official-record,"Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1572
H1572,194:H1773,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1572/SimilarBills
H1572,194:S1221,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1572/SimilarBills
H1572,194:S3159,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1572/SimilarBills
H1572,190:S1253,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1572/SimilarBills
H1572,193:S1098,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1572/SimilarBills
H1707,H4517,sent_to_study,verified-official-record,"Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1707
H1707,194:H1915,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1707/SimilarBills
H1707,193:S971,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1707/SimilarBills
H1707,194:S265,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1707/SimilarBills
H1707,194:S1210,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1707/SimilarBills
H1707,194:S250,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1707/SimilarBills
H1728,H4359,superseded_by,verified-official-record,"Accompanied a new draft, see H4359",https://malegislature.gov/Bills/193/H1728
H1728,194:H1946,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1728/SimilarBills
H1728,194:H4640,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1728/SimilarBills
H1728,193:H4359,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1728/SimilarBills
H1728,194:S1053,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1728/SimilarBills
H1728,194:H88,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1728/SimilarBills
H1809,H4517,sent_to_study,verified-official-record,"Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1809
H1809,194:H2036,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1809/SimilarBills
H1809,192:HD4546,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1809/SimilarBills
H1809,194:H3603,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1809/SimilarBills
H1809,194:H1166,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1809/SimilarBills
H1809,194:H3741,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1809/SimilarBills
H1893,H4570,sent_to_study,verified-official-record,"Accompanied a study order, see H4570",https://malegislature.gov/Bills/193/H1893
H1893,190:H158,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1893/SimilarBills
H1893,191:H1628,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1893/SimilarBills
H1893,192:H1982,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1893/SimilarBills
H1893,191:H3695,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1893/SimilarBills
H1893,194:H385,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1893/SimilarBills
H1986,H4712,sent_to_study,verified-official-record,"Accompanied a study order, see H4712",https://malegislature.gov/Bills/193/H1986
H1986,194:H2236,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1986/SimilarBills
H1986,190:S547,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1986/SimilarBills
H1986,191:S1154,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1986/SimilarBills
H1986,192:S1297,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1986/SimilarBills
H1986,192:S1270,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H1986/SimilarBills
H326,194:H389,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H326/SimilarBills
H326,188:H244,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H326/SimilarBills
H326,189:H223,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H326/SimilarBills
H326,190:H165,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H326/SimilarBills
H326,191:H261,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H326/SimilarBills
H3404,194:H3755,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3404/SimilarBills
H3404,194:H1810,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3404/SimilarBills
H3404,194:H2297,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3404/SimilarBills
H3404,194:H2326,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3404/SimilarBills
H3404,194:H3518,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3404/SimilarBills
H3434,190:H3439,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3434/SimilarBills
H3434,191:H3148,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3434/SimilarBills
H3434,192:H3601,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3434/SimilarBills
H3434,194:S2357,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3434/SimilarBills
H3434,186:S1931,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H3434/SimilarBills
H377,H4680,sent_to_study,verified-official-record,"Accompanied a study order, see H4680",https://malegislature.gov/Bills/193/H377
H377,193:S174,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H377/SimilarBills
H377,194:S1532,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H377/SimilarBills
H377,194:S1227,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H377/SimilarBills
H377,188:H1909,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H377/SimilarBills
H377,189:H1900,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H377/SimilarBills
H4323,S1022,redraft_of,verified-official-record,New draft of S1022 and H1442,https://malegislature.gov/Bills/193/H4323
H4323,H1442,redraft_of,verified-official-record,New draft of S1022 and H1442,https://malegislature.gov/Bills/193/H4323
H4323,194:H1643,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4323/SimilarBills
H4323,194:H4634,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4323/SimilarBills
H4323,190:H765,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4323/SimilarBills
H4323,191:H3273,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4323/SimilarBills
H4323,192:H1513,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4323/SimilarBills
H4359,S927,redraft_of,verified-official-record,New draft of S927 and H1728,https://malegislature.gov/Bills/193/H4359
H4359,H1728,redraft_of,verified-official-record,New draft of S927 and H1728,https://malegislature.gov/Bills/193/H4359
H4359,194:H1946,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4359/SimilarBills
H4359,194:H4640,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4359/SimilarBills
H4359,193:H1728,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4359/SimilarBills
H4359,194:S1053,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4359/SimilarBills
H4359,194:H88,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4359/SimilarBills
H4632,S227,redraft_of,verified-official-record,"New draft of S227, H60, H63, H80 and H83",https://malegislature.gov/Bills/193/H4632
H4632,H60,redraft_of,verified-official-record,"New draft of S227, H60, H63, H80 and H83",https://malegislature.gov/Bills/193/H4632
H4632,H63,redraft_of,verified-official-record,"New draft of S227, H60, H63, H80 and H83",https://malegislature.gov/Bills/193/H4632
H4632,H80,redraft_of,verified-official-record,"New draft of S227, H60, H63, H80 and H83",https://malegislature.gov/Bills/193/H4632
H4632,H83,redraft_of,verified-official-record,"New draft of S227, H60, H63, H80 and H83",https://malegislature.gov/Bills/193/H4632
H4632,193:H83,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4632/SimilarBills
H4632,194:H104,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4632/SimilarBills
H4632,194:H1843,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4632/SimilarBills
H4632,194:H128,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4632/SimilarBills
H4632,194:H3821,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4632/SimilarBills
H4844,H4496,reported_from_part_of,verified-official-record,Reported on a part of H4496,https://malegislature.gov/Bills/193/H4844
H4844,193:H4496,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4844/SimilarBills
H4844,193:H4790,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4844/SimilarBills
H4844,193:H4799,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4844/SimilarBills
H4844,193:H5049,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4844/SimilarBills
H4844,193:H4034,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H4844/SimilarBills
H532,194:H633,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H532/SimilarBills
H532,194:H4405,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H532/SimilarBills
H532,192:H127,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H532/SimilarBills
H532,194:H104,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H532/SimilarBills
H532,194:H1926,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H532/SimilarBills
H60,H4632,superseded_by,verified-official-record,"Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H60
H60,194:H1915,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H60/SimilarBills
H60,193:S227,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H60/SimilarBills
H60,194:S265,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H60/SimilarBills
H60,194:S1210,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H60/SimilarBills
H60,194:S250,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H60/SimilarBills
H63,H4632,superseded_by,verified-official-record,"Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H63
H63,189:S124,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H63/SimilarBills
H63,194:S187,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H63/SimilarBills
H63,194:S43,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H63/SimilarBills
H63,189:H225,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H63/SimilarBills
H63,190:H1985,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H63/SimilarBills
H76,S2539,superseded_by,verified-official-record,"Accompanied a new draft, see S2539",https://malegislature.gov/Bills/193/H76
H76,194:H93,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H76/SimilarBills
H76,193:S30,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H76/SimilarBills
H80,H4632,superseded_by,verified-official-record,"Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H80
H80,194:H98,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H80/SimilarBills
H80,194:H1668,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H80/SimilarBills
H80,194:H1859,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H80/SimilarBills
H80,194:H1704,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H80/SimilarBills
H80,194:H2440,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H80/SimilarBills
H83,H4632,superseded_by,verified-official-record,"Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/H83
H83,193:H4632,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H83/SimilarBills
H83,194:H1843,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H83/SimilarBills
H83,194:H128,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H83/SimilarBills
H83,194:H3821,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H83/SimilarBills
H83,194:H2688,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/H83/SimilarBills
S1022,H4323,superseded_by,verified-official-record,"Accompanied a new draft, see H4323",https://malegislature.gov/Bills/193/S1022
S1022,194:S1156,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1022/SimilarBills
S1022,190:S886,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1022/SimilarBills
S1022,191:S968,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1022/SimilarBills
S1022,192:S1074,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1022/SimilarBills
S1022,194:H1643,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1022/SimilarBills
S1368,S2648,sent_to_study,verified-official-record,"Accompanied a study order, see S2648",https://malegislature.gov/Bills/193/S1368
S1368,194:S1532,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1368/SimilarBills
S1368,192:S1435,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1368/SimilarBills
S1368,194:H2232,official_similar,verified-official-record,Similar Bills tab,https://malegislature.gov/Bills/193/S1368/SimilarBills
