bill,excluded_content
H1745,"Minor-sexting diversion program (SECTION 3, c.119 s.39N) and criminal-harassment penalty changes (SECTION 4): juvenile-diversion and penalty mechanisms, not disclosure restrictions"
H326,"Trial-offer/negative-option disclosure and consent regime (c.93 s.116(a)-(e),(g)): consumer protection without a data-handling rule"
H377,Deceptive pregnancy-services advertising ban (c.93A1/2 s.2): advertising regulation without a data-handling rule
H3831,"Municipal broadband build-out, net neutrality, anti-censorship, governance (c.7D ss.12, 13(a)-(d),(f), 14(1)(i)-(k), 14(2))"
H4115,"Diversion program, penalty changes, and coercive-control provisions (abuse-prevention-order law)"
H4241,Same as H4115 (engrossed vehicle)
H4744,"2024 c.118 out-of-domain content: coercive-control definitions (abuse-order law, incl. threatening to publish sensitive personal information as an abuse element), minor-sexting diversion (c.119 s.39N), penalty increases, related procedural sections"
S1012,"Same out-of-domain content as H1745 (diversion program, penalties)"
S1139,"Same out-of-domain content as H1745 (diversion program, penalties)"
S1557,"Drone weaponization ban, acquisition approval, critical-infrastructure airspace, hunting ban (c.6 s.221(b); SECTION 2)"
S174,Deceptive pregnancy-services advertising ban (c.93A1/2 s.2): same as H377
S1896,Municipal Broadband Fund (c.65D s.4; c.29 s.2RRRRR): broadband finance
S2539,"State cybersecurity code, incident response, AI/ADM board, robotics, funds (SECTIONS 1-4, 16, 18-22); SECTION 1 c.7D s.17(f)(iv) AI training-data consent rulemaking flagged borderline"
