prop_id,slug,subdomain,description,n_bills
P-001,data-minimization-duty-of-loyalty,comprehensive,Covered entities may collect/process/transfer covered data only as reasonably necessary for enumerated permissible purposes,4
P-002,dark-pattern-ban,comprehensive,Ban on deceptive statements and manipulative interfaces to induce consent or impair rights,4
P-003,ssn-restrictions,comprehensive,Bar on collecting/processing/transferring Social Security numbers except enumerated uses,4
P-004,sensitive-data-strict-necessity,comprehensive,Sensitive covered data collectible/processable only when strictly necessary for a requested product or enumerated purpose,4
P-005,sensitive-data-transfer-consent,comprehensive,Third-party transfer of sensitive data requires prior consent per transfer,4
P-006,sensitive-data-targeted-ads-ban,comprehensive,Flat ban on processing sensitive covered data for targeted advertising,4
P-007,consent-request-standards,comprehensive,"Standalone, symmetric, non-inferable consent requests; new consent for new purposes",4
P-008,privacy-by-design,comprehensive,Duty to maintain reasonable risk-mitigating policies scaled to size and sensitivity,4
P-009,anti-retaliation-pricing,comprehensive,No retaliation or price/quality difference for exercising rights; loyalty-program exception,4
P-010,privacy-policy-transparency,comprehensive,"Public privacy policy with categories, purposes, transferees, brokers, retention; change notice",4
P-012,opt-out-rights-transfers-ads,comprehensive,Rights to withdraw consent and opt out of third-party transfers and targeted advertising,4
P-013,profiling-opt-out,comprehensive,Right to opt out of profiling in furtherance of decisions with legal or similarly significant effects,2
P-014,authorized-agents-opt-out-signals,comprehensive,Rights exercisable through authorized agents and browser/device opt-out preference signals,2
P-015,minors-targeted-ads-ban,comprehensive,No targeted advertising to individuals known (tiered standard) to be under 18,4
P-016,data-broker-registration-ocabr,comprehensive,Data broker website notice plus annual OCABR registration and public registry,4
P-017,civil-rights-nondiscrimination,comprehensive,Ban on data practices that discriminate (disparate impact) on protected characteristics,4
P-018,algorithm-impact-assessments,comprehensive,Annual covered-algorithm impact assessments by large holders; pre-deployment design evaluations filed with AG,2
P-019,centralized-opt-out-mechanism,comprehensive,OCABR must establish or recognize centralized privacy-protective opt-out mechanisms,2
P-020,privacy-security-officers,comprehensive,Mandatory designated privacy officers and data security officers,2
P-021,large-holder-privacy-impact-assessment,comprehensive,Biennial privacy impact assessment by large data holders,2
P-022,service-provider-third-party-duties,comprehensive,Service providers bound to instructions by contract; third parties limited to disclosed purposes,4
P-023,comprehensive-private-right-of-action,comprehensive,"Private action with liquidated damages (0.15% global revenue or $15,000/violation), anti-arbitration",4
P-024,comprehensive-ag-enforcement,comprehensive,AG enforcement via c.93A with penalties up to 4% global revenue or $20M per action,4
P-025,complaint-retaliation-ban,comprehensive,Unlawful to retaliate for good-faith compliance complaints,4
P-026,legal-request-transparency-reports,comprehensive,"Bi-monthly aggregate public reports of legal requests received (warrants, orders, subpoenas)",2
P-027,interactive-computer-service-carveout,comprehensive,s.230-style carve-out: hosting user-provided personal information is not processing,2
P-028,workplace-surveillance-limits,workplace,"Employer electronic monitoring limited to enumerated purposes, least-invasive means, advance notice",2
P-031,gdpr-processing-principles,comprehensive,"Fair, purpose-limited, minimized, accurate, storage-limited, secure processing principles (GDPR art.5 style)",3
P-032,gdpr-lawful-basis,comprehensive,"Processing lawful only on enumerated bases (consent, contract, legal obligation, vital/legitimate interests)",3
P-033,gdpr-privacy-notice,comprehensive,"Mandatory point-of-collection privacy notice of categories, purposes, sales, retention",3
