study_order,terminal_actions,reported_out,url
H4517,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4517
H4570,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4570
H4578,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4578
H4675,"Reported, in part, by H3107; No further action taken",,https://malegislature.gov/Bills/193/H4675
H4680,Order reported favorably by committee and referred to the committee on Joint Rules; Discharged to the committee on House Rules,,https://malegislature.gov/Bills/193/H4680
H4705,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4705
H4711,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4711
H4712,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4712
H4714,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4714
H4715,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4715
H4716,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4716
H4739,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4739
H4877,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4877
H4902,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H4902
H5022,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H5022
H5032,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H5032
H5046,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H5046
H5047,Discharged to the committee on House Rules; No further action taken,,https://malegislature.gov/Bills/193/H5047
S2612,Reported (in part) S2538; No further action taken,S2538: An Act relative to the designation of Jury Clerk in the Have (243 chars; terminal: No further action taken),https://malegislature.gov/Bills/193/S2612
S2630,Discharged to the committee on Senate Rules; No further action taken,,https://malegislature.gov/Bills/193/S2630
S2633,Discharged to the committee on Senate Rules; No further action taken,,https://malegislature.gov/Bills/193/S2633
S2648,Discharged to the committee on Senate Rules; No further action taken,,https://malegislature.gov/Bills/193/S2648
S2777,Discharged to the committee on Senate Rules; No further action taken,,https://malegislature.gov/Bills/193/S2777
S2882,Discharged to the committee on Senate Rules; No further action taken,,https://malegislature.gov/Bills/193/S2882
S2926,Discharged to the committee on Senate Rules; No further action taken,,https://malegislature.gov/Bills/193/S2926
