bill_number,title,domain_title_terms,broad_title_terms,committee_net,fetch_status,legislation_type,text_chars,text_terms,snippet
,Worcester DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,AGO 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,Norfolk DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,Middlesex DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,An Act relative to student and educator data privacy,privacy;data_privacy_protection,data,,docket_only_no_text,,,,
,An Act relative to student and educator data privacy,privacy;data_privacy_protection,data,,docket_only_no_text,,,,
,Northwestern DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,Essex County DA 2022 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,An Act relevant to the surveillance and reporting of Long COVID,surveillance,,,docket_only_no_text,,,,
,A report of the District Attorney of the Cape and Islands District (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,
,A communication from the District Attorney of Essex County (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,
,A report of the Middlesex District Attorney (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,
,A communication from the District Attorney of Norfolk County (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,
,A communication from the Northwestern District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,
,A report of the District Attorney of Worcester County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,
,A communication from the Hampden County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2022,wiretap_interception,,,docket_only_no_text,,,,
,Special report of the Special Commission to Evaluate Government Use of Facial Recognition Technology (under Section 105 of Chapter 253 of the Acts of 2020 and most recently revived and continued by Section70 of Chapter 2 of the Acts of 2023) submitting its final report and appendices,facial_recognition,technology,,docket_only_no_text,,,,
,The annual report of the Norfolk County District Attorney’s Office (under Section 99(R) of Chapter 272 of the General Laws) submitting its report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,
,A report of the District Attorney of Essex County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,
,A communication from the Hampden County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,
,Annual report of wiretap interceptions for the 2023 calendar year,wiretap_interception,,,docket_only_no_text,,,,
,A communication from the District Attorney of the Cape and Islands District (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,
,Worcester DA 2023 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,2023 Norfolk DA Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,A report of the District Attorney of Worcester County (under Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,
,Middlesex District Attorney 2023 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,Northwestern DA 2023 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,Modernizing information technology and enhancing cybersecurity,cybersecurity,information;technology,,docket_only_no_text,,,,
,A communication from the Northwestern District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,
,Bristol District Attorney 2023 Wiretap Report,wiretap_interception,,,docket_only_no_text,,,,
,A communication from the Bristol County District Attorney’s Office (see Section 99 of Chapter 272 of the General Laws) submitting a report relative to wiretaps for calendar year 2023,wiretap_interception,,,docket_only_no_text,,,,
H1049,An Act protecting consumers' privacy in mortgage applications,privacy,,,ok,Bill,2203,personal_information:1;consumer_privacy:1;privacy_generic:1,"e failure to clearly and conspicuously state in the initial phase of the solicitation that the solicitation is based on personal information about the consumer that was purchased, directly or indirectly, from a consumer reporting agency without the knowledge o"
H131,An Act fast-tracking adoptions for children in DCF custody,tracking,,,ok,Bill,459,,
H1428,An Act relative to personal information,personal_information,information,,ok,Bill,911,personal_information:2,"ss, or association shall publicly post or publicly display on the internet or make publicly available in any manner the personal information of any police officer, said police officer’s residing spouse or said police officer’s child without the consent of said"
H1442,An Act to protect the privacy of 911 callers,privacy,,,ok,Bill,1421,privacy_generic:1,"ed, except pursuant to a court order finding that the right of the public to the release of the recording outweighs the privacy interests of the individual who made the 911 call or any person involved in the facts or circumstances relating to the"
H1455,An Act relative to the tracking of certain electronic devices,tracking,electronic,,ok,Bill,3217,,
H1556,An Act relative to safety and privacy for elected officials,privacy,,,ok,Bill,729,,
H1572,An Act prohibiting motor vehicle tracking devices without consent,tracking,,,ok,Bill,2552,,
H1672,An Act to ensure backyard privacy,privacy,,,ok,Bill,1122,,
H1707,An Act relative to the malicious doxing of personal information,personal_information,information,,ok,Bill,5778,personal_information:9,"nt”, conduct constituting the crime of criminal harassment pursuant to section 43A of chapter 265 of the General Laws. “Personal information”, information that: (i) identifies, relates to or is reasonably capable of being associated with a specific individual"
H1722,An Act relative to wiretapping in the Commonwealth,wiretap_interception,,,ok,Bill,462,,
H1728,An Act to implement the recommendations of the special commission on facial recognition technology,facial_recognition,technology,,ok,Bill,11199,biometric:12;facial_recognition:37;surveillance:7,"n this section, the following words shall, unless the context clearly requires otherwise, have the following meanings: “Biometric surveillance technology”, any computer software that performs facial recognition or other remote biometric recognition."
H1760,An Act to establish a DNA exception rule for victims of rape,genetic,,,ok,Bill,262,,
H1786,An Act modernizing the Massachusetts wiretap law,wiretap_interception,,,ok,Bill,13535,personal_information:1;surveillance:2;wiretap_interception:2;privacy_generic:1,", sounds, data or intelligence of any nature transmitted in whole or in part by using a cellular telephone, smartphone, personal data assistant or similar device, but shall not include: (i) any communication made through a tone-only paging device; (ii)"
H1809,An Act prohibiting electronic tracking of motor vehicles,tracking,electronic,,ok,Bill,3460,,
