S380 | EX-PROGRAM-INCIDENT | consumer-privacy clause incident to home-care worker-safety standards program
S381 | IN-CORE | c.111 s.72CC(f) bars long-term care facilities from disclosing resident sexual orientation/gender-transition/intersex/HIV information - disclosure restriction on a data holder over an existing record class (borderline: rest of bill is anti-discrimination conduct rules)
S381 | MECHANISMS | SECTION 1 new c.111 s.72CC(f): facility nondisclosure duty for resident SO/GI/transition/intersex/HIV status plus duty to minimize inadvertent disclosure; s.72CC(e) resident-record content (chosen name/pronouns) attaches; s.72CC(k) DPH civil penalties enforce it
S396 | EX-FALSEPOS | "right to privacy" in elder-dignity rights list; no data-handling rule
S403 | EX-PROGRAM-INCIDENT | emergency registry of elders/disabled with not-public-record clause incident to registry the bill creates
S437 | EX-FALSEPOS | "privacy screens" as voting-booth equipment cost
S445 | EX-FALSEPOS | mosquito surveillance in the entomological sense
S627 | EX-PROGRAM-INCIDENT | redaction-for-privacy clause incident to TNC/DNC data-reporting and accountability program
S666 | EX-FALSEPOS | "genetic information" in anti-discrimination protected-class list
S678 | EX-PROGRAM-INCIDENT | data-privacy/consent clause incident to sickle cell registry the bill creates
S690 | EX-PROGRAM-INCIDENT | privacy/infosec policy requirement incident to cryptocurrency licensure regime
S728 | EX-PROGRAM-INCIDENT | interagency patient-safety-data sharing safeguards incident to Betsy Lehman Center program
S747 | EX-PROGRAM-INCIDENT | nurse licensure compact coordinated-data-system confidentiality (codebook names nurse-compact data system as program-incident)
S749 | EX-FALSEPOS | "privacy" in trade-secret/business-confidentiality sense for pharma filings
S761 | EX-FALSEPOS | epidemiological surveillance data in hospital-closure review
S766 | EX-PROGRAM-INCIDENT | risk-adjustment data confidentiality incident to public health option program
S783 | EX-FALSEPOS | trade-secret/privacy confidentiality of drug-price filings, not personal data
S799 | EX-FALSEPOS | dashboards "comply with applicable privacy law" boilerplate
S815 | EX-FALSEPOS | FERPA-compliance reference in free-community-college data sharing
S818 | EX-FALSEPOS | FERPA-compliance reference in dual-enrollment data analysis
S838 | EX-FALSEPOS | FERPA-compliance reference in AP exam data analysis
S839 | EX-PROGRAM-INCIDENT | no-PII clause in work-study program outcome report
S857 | EX-FALSEPOS | "privacy rights" in preserved-lease-terms list for public housing
S859 | EX-FALSEPOS | "genetic information" in housing anti-discrimination protected-class list
S941 | IN-CORE | ss.1-3 restrict disclosure of RMV records and CORI (government-held personal data) absent warrant/criminal-justice purpose - disclosure restrictions over existing government record classes
S941 | MECHANISMS | SECTION 1 c.6 s.167A(j): RMV data disclosure to federal agencies for civil immigration enforcement barred absent probable-cause warrant, AG quash authority; SECTIONS 2-3 c.6 s.172: CORI access/disclosure barred for non-criminal-justice purposes; SECTION 5(b) c.147 s.63(b): interview-subject PII exempt from public records (attaches); SECTION 5(d): court personnel disclose case info to federal agents only as available to public; SECTION 6 c.258B s.3(x): court orders limiting disclosure of immigration-status information
S947 | EX-ADJACENT | parentage law incl. genetic-testing challenge procedure; family-law-procedure exclusion
S953 | EX-FALSEPOS | "genetic information" in protected-class list
S978 | EX-FALSEPOS | "genetic information" in investment anti-discrimination list
S1000 | EX-ADJACENT | expands child advocate's oversight access to juvenile records; agency-access authority, confidentiality obligations incidental
S1011 | EX-PROGRAM-INCIDENT | expungement/sealing clause is a remedy incident to wrongful-conviction compensation proceeding
S1013 | IN-CORE | s.48A(c) criminalizes internet posting of election-worker/family personal information promoting harassment - interpersonal disclosure restriction (parallel to H1428 police-officer PII, IN)
S1013 | MECHANISMS | SECTION 1 new c.56 s.48A(c): unlawful to knowingly post election worker or family member personal information online where dissemination promotes harassment/threat to safety; s.48A(a) PII definition; s.48A(d)-(e) penalties attach; s.48A(b) harassment offense is conduct regulation attaching to the same section
