H4002 | EX-PROGRAM-INCIDENT | communications-record nondisclosure incident to the transit safety office the bill creates
H4124 | EX-PROGRAM-INCIDENT | exploitation-report records nondisclosure incident to the senior financial-exploitation reporting program
H4135 | EX-ADJACENT | ERPO petition court-record confidentiality (protective-order law); biometric = trigger-lock device; c.66 s.10B edits are conforming renumbering/DCJIS-transmission carve-out only
H4138 | IN-CORE | Affordable Homes Act carries the eviction-record sealing regime with PII nondisclosure (P-295/P-296 lineage; enacted via H4977/2024 c.150 ss.28,52)
H4138 | MECHANISMS | eviction-record sealing with petition right (SECTION 47, new c.239 s.15(a)-(d)); PII of parties remains sealed on limited-purpose release, no commercial release (SECTION 47, c.239 s.15(d)); "no record" answer right and CRA/consumer-report inquiry duties with AG warning enforcement (SECTION 47, c.239 s.15 consumer-report provisions)
H4139 | EX-ADJACENT | redraft of H4135; same ERPO court-record confidentiality and conforming firearm-record edits
H4151 | EX-PROGRAM-INCIDENT | fee/exemption records nondisclosure incident to the home-rule Nantucket transfer-fee program
H4167 | EX-PROGRAM-INCIDENT | CDC-worker list consumer-PII proviso; recurring program-administration proviso (cf. data/enacted_adjudication.csv 2023 c.77 s.5)
H4171 | EX-PROGRAM-INCIDENT | same CDC-worker list proviso as H4167 (2023 c.77 s.5 adjudication)
H4172 | EX-FALSEPOS | "genetic information" as discharge-upgrade antidiscrimination criterion (cf. 2024 c.178 s.136 adjudication)
H4178 | EX-PROGRAM-INCIDENT | oversight-record confidentiality incident to long-term-care regulatory program; "privacy and dignity" is physical privacy
H4193 | EX-PROGRAM-INCIDENT | redraft of H4178; same incident clauses
H4204 | EX-PROGRAM-INCIDENT | same CDC-worker list proviso as H4167 (2023 c.77 s.5 adjudication)
H4253 | EX-PROGRAM-INCIDENT | anti-surveillance unfair-labor-practice clause incident to the TND bargaining regime (cf. 2024 c.252 adjudication row)
H4255 | EX-PROGRAM-INCIDENT | participant-PII nondisclosure incident to the psychedelics licensing/regulation program
H4256 | EX-FALSEPOS | "genetic information" in app-based-driver antidiscrimination list
H4258 | EX-FALSEPOS | "genetic information" in app-based-driver antidiscrimination list
H4259 | EX-FALSEPOS | "genetic information" in app-based-driver antidiscrimination list
H4391 | EX-PROGRAM-INCIDENT | records confidentiality incident to child fatality review teams (mortality-review precedent in codebook)
H4496 | EX-PROGRAM-INCIDENT | confidential data-sharing-agreement proviso in supplemental budget; recurring program-administration proviso; no SFI section present
H4517 | EX-FALSEPOS | study order; terms appear only in recited petition titles (underlying bills adjudicated separately)
H4537 | EX-FALSEPOS | study order; "privacy" in recited nursing-home dignity petition title
H4570 | EX-FALSEPOS | study order; terms in recited petition titles of studied privacy bills
